Ligand_SMILES,Decoy_SMILES,Actividad,psmis
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)sc(n2)Cn3cc(cn3)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)sc(n2)Cn3cc(cn3)N,0,[Sar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)sc(n2)Cn3cc(cn3)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)sc(n2)Cn3cc(cn3)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)sc(n2)Cn3cc(cn3)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)n(c(n2)N)Cc3cscn3,0,N[Car]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)n(c(n2)N)Cc3cscn3,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)n(c(n2)N)Cc3cscn3,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)n(c(n2)N)Cc3cscn3,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)n(c(n2)N)Cc3cscn3,0,[Sar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(nc1)n(c(n2)N)Cc3cscn3,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc2c(ccc(c2[nH+]c1)Nc3ccsc3)N,0,N[Car]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc2c(ccc(c2[nH+]c1)Nc3ccsc3)N,0,[R]N[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc2c(ccc(c2[nH+]c1)Nc3ccsc3)N,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc2c(ccc(c2[nH+]c1)Nc3ccsc3)N,0,[Sar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],CC(C)(c1[nH]c(cn1)c2cc(ccc2F)F)[NH3+],0,[R][N+]([R])([R])[Cal]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],CC(C)(c1[nH]c(cn1)c2cc(ccc2F)F)[NH3+],0,F[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],CC(C)(c1[nH]c(cn1)c2cc(ccc2F)F)[NH3+],0,F[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],CC(C)(c1[nH]c(cn1)c2cc(ccc2F)F)[NH3+],0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],CC(C)(c1[nH]c(cn1)c2cc(ccc2F)F)[NH3+],0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(ccc1Nc2cc[nH+]cc2N)F,0,F[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(ccc1Nc2cc[nH+]cc2N)F,0,N[Car]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(ccc1Nc2cc[nH+]cc2N)F,0,[R]N[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(ccc1Nc2cc[nH+]cc2N)F,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc(c(cc1Cl)n2c(nnn2)CN)F,0,N[Cal]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc(c(cc1Cl)n2c(nnn2)CN)F,0,Cl[R]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc(c(cc1Cl)n2c(nnn2)CN)F,0,F[R]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc(c(cc1Cl)n2c(nnn2)CN)F,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc(c(cc1Cl)n2c(nnn2)CN)F,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc(c(cc1Cl)n2c(nnn2)CN)F,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc(c(cc1Cl)n2c(nnn2)CN)F,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,Cc1cnc(nc1Sc2cnccn2)N,0,N[Car]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,Cc1cnc(nc1Sc2cnccn2)N,0,[R]S[R]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,Cc1cnc(nc1Sc2cnccn2)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,Cc1cnc(nc1Sc2cnccn2)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,Cc1cnc(nc1Sc2cnccn2)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,Cc1cnc(nc1Sc2cnccn2)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(cc1n3ccc(n3)CN)nccn2,0,N[Cal]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(cc1n3ccc(n3)CN)nccn2,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(cc1n3ccc(n3)CN)nccn2,0,[Nar]
