Ligand_SMILES,Ligand_ID,Decoy_SMILES,Tanimoto_Similarity,Actividad
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,C[C@@H]1C=C2[C@@H]([C@@H](C(=C(O2)N)C#N)c3cc(c(c(c3)Br)OC)OC)C(=O)N1CCc4c[nH]c[nH+]4,0.09016393442622951,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,c1ccc(cc1)c2c([nH+]c([nH]2)SCC(=O)NC(=O)N[C@@H]3CCS(=O)(=O)C3)c4ccccc4,0.09174311926605505,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,CC(=O)Nc1ccc(cc1)S(=O)(=O)N(C)CC(=O)N/[NH+]=C/c2c3ccccc3ccc2O,0.09345794392523364,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,c1cc(c[nH+]c1)/C=C(\C(=O)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3)/NC(=O)c4cccs4,0.09649122807017543,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,CC[C@@]1(C(=O)N(C(=O)N1)NC(=O)CSc2[nH]c(c([nH+]2)c3cccs3)c4cccs4)C,0.0990990990990991,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,Cc1c2c(n[nH]1)OC(=C([C@@H]2c3ccc(c(c3)Br)OCc4ccc(cc4)[N+](=O)[O-])C#N)[NH3+],0.1016949152542373,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,Cc1c2c(n[nH]1)OC(=C([C@H]2c3ccc(c(c3)Br)OCc4ccc(cc4)[N+](=O)[O-])C#N)[NH3+],0.1016949152542373,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,C[C@@H](C(=O)Nc1ccc(cc1)NC(=O)C)S[C@@H]2NN=C(N2c3ccccc3)C4=c5ccccc5=[NH+]C4,0.10714285714285714,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,C[C@@H](c1cc(no1)c2[nH]c3ccc(cc3[nH+]2)C(F)(F)F)NC(=O)c4c5c(ncn4)NC(=O)CC5,0.10743801652892562,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,Cc1ccc(o1)CNc2cc(cc(c2)S(=O)(=O)NC(C)(C)C)C(=O)NC[C@H]3CCC[NH+](C3)C,0.11304347826086956,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,Cc1ccc(cc1)NC(=O)C(=O)NCc2ccc(o2)/C=N\NC(=O)c3c([nH+]c4n3cccc4)C,0.11403508771929824,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,Cc1ccc(cc1)[C@@H]2C=C([NH+]=C3N2NC(=N3)NS(=O)(=O)c4ccc(cc4)NC(=O)C)c5ccccc5,0.11504424778761062,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000096,Cc1ccc(cc1)S(=O)(=O)N/N=C/2\CCCc3c2c(c(o3)C(=O)[NH2+]NC(=O)c4ccco4)C,0.11504424778761062,0
c1ccc(cc1)c2cc(=O)c3ccccc3o2,P10000097,CC(C)(C)[C@@H]1CCCC[C@@]1(C#N)N2CCCC2,0.0,0
c1ccc(cc1)c2cc(=O)c3ccccc3o2,P10000097,C[C@@H]1CN2CCC[C@@H]2CN1C3CCCCCC3,0.0,0
c1ccc(cc1)c2cc(=O)c3ccccc3o2,P10000097,CC(C)(C)[C@H]1CCc2c(sc(n2)CC#N)C1,0.01639344262295082,0
c1ccc(cc1)c2cc(=O)c3ccccc3o2,P10000097,C[C@H]1CC[C@@H]([C@@H](C1)N2CCCC(C2)(C)C)C#N,0.01694915254237288,0
c1ccc(cc1)c2cc(=O)c3ccccc3o2,P10000097,CCCc1c(c(c2c(n1)CCCC2)C#N)Cl,0.017241379310344827,0
c1ccc(cc1)c2cc(=O)c3ccccc3o2,P10000097,CCc1c(c(nc(n1)[C@@H]2CC[C@@H](C2)C)Cl)C,0.017241379310344827,0
c1ccc(cc1)c2cc(=O)c3ccccc3o2,P10000097,CC[C@@H]1CC[C@@H]([C@@H](C1)N2CCCCC2)C#N,0.017857142857142856,0
